gene_id	pretty_id
lcl|NW_015622504.1_cds_XP_016227751.1_81	gene-IR01_00079
lcl|NW_015622504.1_cds_XP_016227752.1_82	gene-IR01_00080
lcl|NW_015622504.1_cds_XP_016227753.1_83	gene-IR01_00081
lcl|NW_015622504.1_cds_XP_016227756.1_86	gene-IR01_00082
lcl|NW_015622504.1_cds_XP_016227757.1_87	gene-IR01_00083
lcl|NW_015622504.1_cds_XP_016227758.1_88	gene-IR01_00084
lcl|NW_015622504.1_cds_XP_016227759.1_89	gene-IR01_00085
lcl|NW_015622504.1_cds_XP_016227760.1_90	gene-IR01_00086
lcl|NW_015622504.1_cds_XP_016227761.1_91	gene-IR01_00087
lcl|NW_015622504.1_cds_XP_016227762.1_92	gene-IR01_00088
lcl|NW_015622504.1_cds_XP_016227763.1_93	gene-IR01_00089
lcl|NW_015622504.1_cds_XP_016227764.1_94	gene-IR01_00090
lcl|NW_015622504.1_cds_XP_016227765.1_95	gene-IR01_00091
lcl|NW_015622504.1_cds_XP_016227768.1_98	gene-IR01_00092
lcl|NW_015622504.1_cds_XP_016227769.1_99	gene-IR01_00093
lcl|NW_015622504.1_cds_XP_016227770.1_100	gene-IR01_00094
lcl|NW_015622504.1_cds_XP_016227771.1_101	gene-IR01_00095
lcl|NW_015622504.1_cds_XP_016227772.1_102	gene-IR01_00096
lcl|NW_015622504.1_cds_XP_016227774.1_104	gene-IR01_00097
lcl|NW_015622504.1_cds_XP_016227775.1_105	gene-IR01_00098
lcl|NW_015622504.1_cds_XP_016227776.1_106	gene-IR01_00099
lcl|NW_015622504.1_cds_XP_016227777.1_107	gene-IR01_00100
lcl|NW_015622504.1_cds_XP_016227778.1_108	gene-IR01_00101
lcl|NW_015622504.1_cds_XP_016227779.1_109	gene-IR01_00102
lcl|NW_015622504.1_cds_XP_016227780.1_110	gene-IR01_00103
lcl|NW_015622504.1_cds_XP_016227782.1_112	gene-IR01_00104
lcl|NW_015622504.1_cds_XP_016227787.1_117	gene-IR01_00105
lcl|NW_015622504.1_cds_XP_016227788.1_118	gene-IR01_00106
lcl|NW_015622504.1_cds_XP_016227789.1_119	gene-IR01_00107
lcl|NW_015622504.1_cds_XP_016227790.1_120	gene-IR01_00108
lcl|NW_015622504.1_cds_XP_016227791.1_121	gene-IR01_00109
lcl|NW_015622504.1_cds_XP_016227792.1_122	gene-IR01_00110
lcl|NW_015622504.1_cds_XP_016227793.1_123	gene-IR01_00111
lcl|NW_015622504.1_cds_XP_016227794.1_124	gene-IR01_00112
lcl|NW_015622504.1_cds_XP_016227795.1_125	gene-IR01_00113
lcl|NW_015622504.1_cds_XP_016227796.1_126	gene-IR01_00114
lcl|NW_015622504.1_cds_XP_016227797.1_127	gene-IR01_00115
lcl|NW_015622504.1_cds_XP_016227798.1_128	gene-IR01_00116
lcl|NW_015622504.1_cds_XP_016227800.1_130	gene-IR01_00117
lcl|NW_015622504.1_cds_XP_016227801.1_131	gene-IR01_00118
lcl|NW_015622504.1_cds_XP_016227802.1_132	gene-IR01_00119
lcl|NW_015622504.1_cds_XP_016227803.1_133	gene-IR01_00120
lcl|NW_015622504.1_cds_XP_016227804.1_134	gene-IR01_00121
lcl|NW_015622504.1_cds_XP_016227805.1_135	gene-IR01_00122
lcl|NW_015622504.1_cds_XP_016227806.1_136	gene-IR01_00123
lcl|NW_015622504.1_cds_XP_016227807.1_137	gene-IR01_00124
lcl|NW_015622504.1_cds_XP_016227808.1_138	gene-IR01_00125
lcl|NW_015622504.1_cds_XP_016227810.1_139	gene-IR01_00126
lcl|NW_015622504.1_cds_XP_016227809.1_140	gene-IR01_00127
lcl|NW_015622504.1_cds_XP_016227811.1_141	gene-IR01_00128
lcl|NW_015622504.1_cds_XP_016227812.1_142	gene-IR01_00129
lcl|NW_015622504.1_cds_XP_016227813.1_143	gene-IR01_00130
lcl|NW_015622504.1_cds_XP_016227814.1_144	gene-IR01_00131
lcl|NW_015622504.1_cds_XP_016227815.1_145	gene-IR01_00132
lcl|NW_015622504.1_cds_XP_016227816.1_146	gene-IR01_00133
lcl|NW_015622504.1_cds_XP_016227817.1_147	gene-IR01_00134
lcl|NW_015622504.1_cds_XP_016227818.1_148	gene-IR01_00135
lcl|NW_015622504.1_cds_XP_016227820.1_150	gene-IR01_00136
lcl|NW_015622504.1_cds_XP_016227821.1_151	gene-IR01_00137
lcl|NW_015622504.1_cds_XP_016227822.1_152	gene-IR01_00138
lcl|NW_015622504.1_cds_XP_016227826.1_156	gene-IR01_00139
lcl|NW_015622504.1_cds_XP_016227827.1_157	gene-IR01_00140
lcl|NW_015622504.1_cds_XP_016227829.1_159	gene-IR01_00141
lcl|NW_015622504.1_cds_XP_016227830.1_160	gene-IR01_00142
lcl|NW_015622504.1_cds_XP_016227831.1_161	gene-IR01_00143
lcl|NW_015622504.1_cds_XP_016227832.1_162	gene-IR01_00144
lcl|NW_015622504.1_cds_XP_016227833.1_163	gene-IR01_00145
lcl|NW_015622504.1_cds_XP_016227834.1_164	gene-IR01_00146
lcl|NW_015622504.1_cds_XP_016227835.1_165	gene-IR01_00147
lcl|NW_015622504.1_cds_XP_016227836.1_166	gene-IR01_00148
lcl|NW_015622504.1_cds_XP_016227837.1_167	gene-IR01_00149
lcl|NW_015622504.1_cds_XP_016227838.1_168	gene-IR01_00150
lcl|NW_015622504.1_cds_XP_016227839.1_169	gene-IR01_00151
lcl|NW_015622504.1_cds_XP_016227840.1_170	gene-IR01_00152
lcl|NW_015622504.1_cds_XP_016227841.1_171	gene-IR01_00153
lcl|NW_015622504.1_cds_XP_016227843.1_173	gene-IR01_00154
lcl|NW_015622504.1_cds_XP_016227844.1_174	gene-IR01_00155
lcl|NW_015622504.1_cds_XP_016227845.1_175	gene-IR01_00156
lcl|NW_015622504.1_cds_XP_016227846.1_176	gene-IR01_00157
lcl|NW_015622504.1_cds_XP_016227847.1_177	gene-IR01_00158
lcl|NW_015622504.1_cds_XP_016227848.1_178	gene-IR01_00159
lcl|NW_015622504.1_cds_XP_016227849.1_179	gene-IR01_00160
lcl|NW_015622504.1_cds_XP_016227850.1_180	gene-IR01_00161
lcl|NW_015622504.1_cds_XP_016227851.1_181	gene-IR01_00162
lcl|NW_015622504.1_cds_XP_016227852.1_182	gene-IR01_00163
lcl|NW_015622504.1_cds_XP_016227853.1_183	gene-IR01_00164
lcl|NW_015622504.1_cds_XP_016227854.1_184	gene-IR01_00165
lcl|NW_015622504.1_cds_XP_016227855.1_185	gene-IR01_00166
lcl|NW_015622504.1_cds_XP_016227856.1_186	gene-IR01_00167
lcl|NW_015622504.1_cds_XP_016227857.1_187	gene-IR01_00168
lcl|NW_015622504.1_cds_XP_016227858.1_188	gene-IR01_00169
lcl|NW_015622504.1_cds_XP_016227859.1_189	gene-IR01_00170
lcl|NW_015622504.1_cds_XP_016227860.1_190	gene-IR01_00171
lcl|NW_015622504.1_cds_XP_016227861.1_191	gene-IR01_00172
lcl|NW_015622504.1_cds_XP_016227862.1_192	gene-IR01_00173
lcl|NW_015622504.1_cds_XP_016227863.1_193	gene-IR01_00174
lcl|NW_015622504.1_cds_XP_016227864.1_194	gene-IR01_00175
lcl|NW_015622504.1_cds_XP_016227865.1_195	gene-IR01_00176
lcl|NW_015622504.1_cds_XP_016227866.1_196	gene-IR01_00177
lcl|NW_015622504.1_cds_XP_016227867.1_197	gene-IR01_00178
lcl|NW_015622504.1_cds_XP_016227868.1_198	gene-IR01_00179
lcl|NW_015622504.1_cds_XP_016227869.1_199	gene-IR01_00180
lcl|NW_015622504.1_cds_XP_016227870.1_200	gene-IR01_00181
lcl|NW_015622504.1_cds_XP_016227871.1_201	gene-IR01_00182
lcl|NW_015622504.1_cds_XP_016227872.1_202	gene-IR01_00183
lcl|NW_015622504.1_cds_XP_016227873.1_203	gene-IR01_00184
lcl|NW_015622504.1_cds_XP_016227874.1_204	gene-IR01_00185
lcl|NW_015622504.1_cds_XP_016227875.1_205	gene-IR01_00186
lcl|NW_015622504.1_cds_XP_016227876.1_206	gene-IR01_00187
lcl|NW_015622504.1_cds_XP_016227877.1_207	gene-IR01_00188
lcl|NW_015622504.1_cds_XP_016227878.1_208	gene-IR01_00189
lcl|NW_015622504.1_cds_XP_016227879.1_209	gene-IR01_00190
lcl|NW_015622504.1_cds_XP_016227880.1_210	gene-IR01_00191
lcl|NW_015622504.1_cds_XP_016227881.1_211	gene-IR01_00192
lcl|NW_015622504.1_cds_XP_016227882.1_212	gene-IR01_00193
lcl|NW_015622504.1_cds_XP_016227883.1_213	gene-IR01_00194
lcl|NW_015622504.1_cds_XP_016227884.1_214	gene-IR01_00195
lcl|NW_015622504.1_cds_XP_016227885.1_215	gene-IR01_00196
lcl|NW_015622504.1_cds_XP_016227886.1_216	gene-IR01_00197
lcl|NW_015622504.1_cds_XP_016227887.1_217	gene-IR01_00198
lcl|NW_015622504.1_cds_XP_016227888.1_218	gene-IR01_00199
lcl|NW_015622504.1_cds_XP_016227889.1_219	gene-IR01_00200
lcl|NW_015622504.1_cds_XP_016227890.1_220	gene-IR01_00201
lcl|NW_015622504.1_cds_XP_016227891.1_221	gene-IR01_00202
lcl|NW_015622504.1_cds_XP_016227892.1_222	gene-IR01_00203
lcl|NW_015622504.1_cds_XP_016227894.1_223	gene-IR01_00204
lcl|NW_015622504.1_cds_XP_016227893.1_224	gene-IR01_00205
lcl|NW_015622504.1_cds_XP_016227895.1_225	gene-IR01_00206
lcl|NW_015622504.1_cds_XP_016227896.1_226	gene-IR01_00207
lcl|NW_015622504.1_cds_XP_016227897.1_227	gene-IR01_00208
lcl|NW_015622504.1_cds_XP_016227898.1_228	gene-IR01_00209
lcl|NW_015622504.1_cds_XP_016227899.1_229	gene-IR01_00210
lcl|NW_015622504.1_cds_XP_016227900.1_230	gene-IR01_00211
lcl|NW_015622504.1_cds_XP_016227903.1_233	gene-IR01_00212
lcl|NW_015622504.1_cds_XP_016227904.1_234	gene-IR01_00213
lcl|NW_015622504.1_cds_XP_016227905.1_235	gene-IR01_00214
lcl|NW_015622504.1_cds_XP_016227906.1_236	gene-IR01_00215
lcl|NW_015622504.1_cds_XP_016227907.1_237	gene-IR01_00216
lcl|NW_015622504.1_cds_XP_016227908.1_238	gene-IR01_00217
lcl|NW_015622504.1_cds_XP_016227909.1_239	gene-IR01_00218
lcl|NW_015622504.1_cds_XP_016227910.1_240	gene-IR01_00219
lcl|NW_015622504.1_cds_XP_016227911.1_241	gene-IR01_00220
lcl|NW_015622504.1_cds_XP_016227912.1_242	gene-IR01_00221
lcl|NW_015622504.1_cds_XP_016227913.1_243	gene-IR01_00222
lcl|NW_015622504.1_cds_XP_016227914.1_244	gene-IR01_00223
lcl|NW_015622504.1_cds_XP_016227915.1_245	gene-IR01_00224
lcl|NW_015622504.1_cds_XP_016227916.1_246	gene-IR01_00225
lcl|NW_015622504.1_cds_XP_016227917.1_247	gene-IR01_00226
lcl|NW_015622504.1_cds_XP_016227918.1_248	gene-IR01_00227
lcl|NW_015622504.1_cds_XP_016227919.1_249	gene-IR01_00228
lcl|NW_015622504.1_cds_XP_016227921.1_251	gene-IR01_00229
lcl|NW_015622504.1_cds_XP_016227922.1_252	gene-IR01_00230
lcl|NW_015622504.1_cds_XP_016227923.1_253	gene-IR01_00231
lcl|NW_015622504.1_cds_XP_016227924.1_254	gene-IR01_00232
lcl|NW_015622504.1_cds_XP_016227925.1_255	gene-IR01_00233
lcl|NW_015622504.1_cds_XP_016227926.1_256	gene-IR01_00234
lcl|NW_015622504.1_cds_XP_016227927.1_257	gene-IR01_00235
lcl|NW_015622504.1_cds_XP_016227928.1_258	gene-IR01_00236
lcl|NW_015622504.1_cds_XP_016227929.1_259	gene-IR01_00237
lcl|NW_015622504.1_cds_XP_016227930.1_260	gene-IR01_00238
lcl|NW_015622504.1_cds_XP_016227931.1_261	gene-IR01_00239
lcl|NW_015622504.1_cds_XP_016227932.1_262	gene-IR01_00240
lcl|NW_015622504.1_cds_XP_016227933.1_263	gene-IR01_00241
lcl|NW_015622504.1_cds_XP_016227934.1_264	gene-IR01_00242
lcl|NW_015622504.1_cds_XP_016227935.1_265	gene-IR01_00243
lcl|NW_015622504.1_cds_XP_016227936.1_266	gene-IR01_00244
lcl|NW_015622504.1_cds_XP_016227937.1_267	gene-IR01_00245
lcl|NW_015622504.1_cds_XP_016227938.1_268	gene-IR01_00246
lcl|NW_015622504.1_cds_XP_016227939.1_269	gene-IR01_00247
lcl|NW_015622504.1_cds_XP_016227940.1_270	gene-IR01_00248
lcl|NW_015622504.1_cds_XP_016227941.1_271	gene-IR01_00249
lcl|NW_015622504.1_cds_XP_016227942.1_272	gene-IR01_00250
lcl|NW_015622504.1_cds_XP_016227943.1_273	gene-IR01_00251
lcl|NW_015622504.1_cds_XP_016227944.1_274	gene-IR01_00252
lcl|NW_015622504.1_cds_XP_016227945.1_275	gene-IR01_00253
lcl|NW_015622504.1_cds_XP_016227946.1_276	gene-IR01_00254
lcl|NW_015622504.1_cds_XP_016227947.1_277	gene-IR01_00255
lcl|NW_015622504.1_cds_XP_016227948.1_278	gene-IR01_00256
lcl|NW_015622504.1_cds_XP_016227949.1_279	gene-IR01_00257
lcl|NW_015622504.1_cds_XP_016227950.1_280	gene-IR01_00258
lcl|NW_015622504.1_cds_XP_016227951.1_281	gene-IR01_00259
lcl|NW_015622504.1_cds_XP_016227953.1_283	gene-IR01_00260
lcl|NW_015622504.1_cds_XP_016227954.1_284	gene-IR01_00261
lcl|NW_015622504.1_cds_XP_016227955.1_285	gene-IR01_00262
lcl|NW_015622504.1_cds_XP_016227956.1_286	gene-IR01_00263
lcl|NW_015622504.1_cds_XP_016227959.1_287	gene-IR01_00264
lcl|NW_015622504.1_cds_XP_016227957.1_288	gene-IR01_00265
lcl|NW_015622504.1_cds_XP_016227958.1_289	gene-IR01_00266
lcl|NW_015622504.1_cds_XP_016227960.1_290	gene-IR01_00267
lcl|NW_015622504.1_cds_XP_016227961.1_291	gene-IR01_00268
lcl|NW_015622504.1_cds_XP_016227963.1_293	gene-IR01_00269
lcl|NW_015622504.1_cds_XP_016227964.1_294	gene-IR01_00270
lcl|NW_015622504.1_cds_XP_016227965.1_295	gene-IR01_00271
lcl|NW_015622504.1_cds_XP_016227966.1_296	gene-IR01_00272
lcl|NW_015622504.1_cds_XP_016227967.1_297	gene-IR01_00273
lcl|NW_015622504.1_cds_XP_016227968.1_298	gene-IR01_00274
lcl|NW_015622504.1_cds_XP_016227969.1_299	gene-IR01_00275
lcl|NW_015622504.1_cds_XP_016227970.1_300	gene-IR01_00276
lcl|NW_015622504.1_cds_XP_016227971.1_301	gene-IR01_00277
lcl|NW_015622504.1_cds_XP_016227972.1_302	gene-IR01_00278
lcl|NW_015622504.1_cds_XP_016227973.1_303	gene-IR01_00279
lcl|NW_015622504.1_cds_XP_016227975.1_305	gene-IR01_00280
lcl|NW_015622504.1_cds_XP_016227979.1_309	gene-IR01_00281
lcl|NW_015622504.1_cds_XP_016227980.1_310	gene-IR01_00282
lcl|NW_015622504.1_cds_XP_016227981.1_311	gene-IR01_00283
lcl|NW_015622504.1_cds_XP_016227982.1_312	gene-IR01_00284
lcl|NW_015622504.1_cds_XP_016227983.1_313	gene-IR01_00285
lcl|NW_015622504.1_cds_XP_016227984.1_314	gene-IR01_00286
lcl|NW_015622504.1_cds_XP_016227985.1_315	gene-IR01_00287
lcl|NW_015622504.1_cds_XP_016227986.1_316	gene-IR01_00288
lcl|NW_015622504.1_cds_XP_016227987.1_317	gene-IR01_00289
lcl|NW_015622504.1_cds_XP_016227988.1_318	gene-IR01_00290
lcl|NW_015622504.1_cds_XP_016227989.1_319	gene-IR01_00291
lcl|NW_015622504.1_cds_XP_016227990.1_320	gene-IR01_00292
lcl|NW_015622504.1_cds_XP_016227991.1_321	gene-IR01_00293
lcl|NW_015622504.1_cds_XP_016227992.1_322	gene-IR01_00294
lcl|NW_015622504.1_cds_XP_016227993.1_323	gene-IR01_00295
lcl|NW_015622504.1_cds_XP_016227994.1_324	gene-IR01_00296
lcl|NW_015622504.1_cds_XP_016227995.1_325	gene-IR01_00297
lcl|NW_015622504.1_cds_XP_016227996.1_326	gene-IR01_00298
lcl|NW_015622504.1_cds_XP_016227997.1_327	gene-IR01_00299
lcl|NW_015622504.1_cds_XP_016227998.1_328	gene-IR01_00300
lcl|NW_015622504.1_cds_XP_016227999.1_329	gene-IR01_00301
lcl|NW_015622504.1_cds_XP_016228000.1_330	gene-IR01_00302
lcl|NW_015622504.1_cds_XP_016228001.1_331	gene-IR01_00303
lcl|NW_015622504.1_cds_XP_016228002.1_332	gene-IR01_00304
lcl|NW_015622504.1_cds_XP_016228003.1_333	gene-IR01_00305
lcl|NW_015622504.1_cds_XP_016228005.1_335	gene-IR01_00306
lcl|NW_015622504.1_cds_XP_016228006.1_336	gene-IR01_00307
lcl|NW_015622504.1_cds_XP_016228007.1_337	gene-IR01_00308
lcl|NW_015622504.1_cds_XP_016228008.1_338	gene-IR01_00309
lcl|NW_015622504.1_cds_XP_016228009.1_339	gene-IR01_00310
lcl|NW_015622504.1_cds_XP_016228010.1_340	gene-IR01_00311
lcl|NW_015622504.1_cds_XP_016228011.1_341	gene-IR01_00312
lcl|NW_015622504.1_cds_XP_016228013.1_343	gene-IR01_00313
lcl|NW_015622504.1_cds_XP_016228014.1_344	gene-IR01_00314
lcl|NW_015622504.1_cds_XP_016228015.1_345	gene-IR01_00315
lcl|NW_015622504.1_cds_XP_016228016.1_346	gene-IR01_00316
lcl|NW_015622504.1_cds_XP_016228017.1_347	gene-IR01_00317
lcl|NW_015622504.1_cds_XP_016228018.1_348	gene-IR01_00318
lcl|NW_015622504.1_cds_XP_016228019.1_349	gene-IR01_00319
lcl|NW_015622504.1_cds_XP_016228020.1_350	gene-IR01_00320
lcl|NW_015622504.1_cds_XP_016228021.1_351	gene-IR01_00321
lcl|NW_015622504.1_cds_XP_016228022.1_352	gene-IR01_00322
lcl|NW_015622504.1_cds_XP_016228023.1_353	gene-IR01_00323
lcl|NW_015622504.1_cds_XP_016228024.1_354	gene-IR01_00324
lcl|NW_015622504.1_cds_XP_016228026.1_356	gene-IR01_00325
lcl|NW_015622504.1_cds_XP_016228027.1_357	gene-IR01_00326
lcl|NW_015622504.1_cds_XP_016228028.1_358	gene-IR01_00327
lcl|NW_015622504.1_cds_XP_016228029.1_359	gene-IR01_00328
lcl|NW_015622504.1_cds_XP_016228030.1_360	gene-IR01_00329
lcl|NW_015622504.1_cds_XP_016228031.1_361	gene-IR01_00330
lcl|NW_015622504.1_cds_XP_016228032.1_362	gene-IR01_00331
lcl|NW_015622504.1_cds_XP_016228033.1_363	gene-IR01_00332
lcl|NW_015622504.1_cds_XP_016228034.1_364	gene-IR01_00333
lcl|NW_015622504.1_cds_XP_016228035.1_365	gene-IR01_00334
lcl|NW_015622504.1_cds_XP_016228036.1_366	gene-IR01_00335
lcl|NW_015622504.1_cds_XP_016228037.1_367	gene-IR01_00336
lcl|NW_015622504.1_cds_XP_016228038.1_368	gene-IR01_00337
lcl|NW_015622504.1_cds_XP_016228039.1_369	gene-IR01_00338
lcl|NW_015622504.1_cds_XP_016228040.1_370	gene-IR01_00339
lcl|NW_015622504.1_cds_XP_016228041.1_371	gene-IR01_00340
lcl|NW_015622504.1_cds_XP_016228042.1_372	gene-IR01_00341
lcl|NW_015622504.1_cds_XP_016228043.1_373	gene-IR01_00342
lcl|NW_015622504.1_cds_XP_016228044.1_374	gene-IR01_00343
lcl|NW_015622504.1_cds_XP_016228045.1_375	gene-IR01_00344
lcl|NW_015622504.1_cds_XP_016228046.1_376	gene-IR01_00345
lcl|NW_015622504.1_cds_XP_016228047.1_377	gene-IR01_00346
lcl|NW_015622504.1_cds_XP_016228048.1_378	gene-IR01_00347
lcl|NW_015622504.1_cds_XP_016228050.1_380	gene-IR01_00348
lcl|NW_015622504.1_cds_XP_016228051.1_381	gene-IR01_00349
lcl|NW_015622504.1_cds_XP_016228052.1_382	gene-IR01_00350
lcl|NW_015622504.1_cds_XP_016228053.1_383	gene-IR01_00351
lcl|NW_015622504.1_cds_XP_016228054.1_384	gene-IR01_00352
lcl|NW_015622504.1_cds_XP_016228055.1_385	gene-IR01_00353
lcl|NW_015622504.1_cds_XP_016228056.1_386	gene-IR01_00354
lcl|NW_015622504.1_cds_XP_016228057.1_387	gene-IR01_00355
lcl|NW_015622504.1_cds_XP_016228071.1_401	gene-IR01_00356
lcl|NW_015622504.1_cds_XP_016228072.1_402	gene-IR01_00357
lcl|NW_015622504.1_cds_XP_016228073.1_403	gene-IR01_00358
lcl|NW_015622504.1_cds_XP_016228074.1_404	gene-IR01_00359
lcl|NW_015622504.1_cds_XP_016228075.1_405	gene-IR01_00360
lcl|NW_015622504.1_cds_XP_016228076.1_406	gene-IR01_00361
lcl|NW_015622504.1_cds_XP_016228077.1_407	gene-IR01_00362
lcl|NW_015622504.1_cds_XP_016228078.1_408	gene-IR01_00363
lcl|NW_015622504.1_cds_XP_016228081.1_411	gene-IR01_00364
lcl|NW_015622504.1_cds_XP_016228082.1_412	gene-IR01_00365
lcl|NW_015622504.1_cds_XP_016228083.1_413	gene-IR01_00366
lcl|NW_015622504.1_cds_XP_016228084.1_414	gene-IR01_00367
lcl|NW_015622504.1_cds_XP_016228087.1_415	gene-IR01_00368
lcl|NW_015622504.1_cds_XP_016228085.1_416	gene-IR01_00369
lcl|NW_015622504.1_cds_XP_016228088.1_418	gene-IR01_00370
lcl|NW_015622504.1_cds_XP_016228089.1_419	gene-IR01_00371
lcl|NW_015622504.1_cds_XP_016228090.1_420	gene-IR01_00372
lcl|NW_015622504.1_cds_XP_016228094.1_422	gene-IR01_00373
lcl|NW_015622504.1_cds_XP_016228093.1_423	gene-IR01_00374
lcl|NW_015622504.1_cds_XP_016228092.1_424	gene-IR01_00375
lcl|NW_015622504.1_cds_XP_016228095.1_425	gene-IR01_00376
lcl|NW_015622504.1_cds_XP_016228096.1_426	gene-IR01_00377
