pretty_id	gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id.x	ips_ipr	ips_ipr_desc	ips_go	ips_pathway	protein_id.y	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
gene-IR01_00076	lcl|NW_015622504.1_cds_XP_016227748.1_78	147.650087019658	3.6431672839192	0.843081141958922	4.32125343884956	1.5514534959598e-05	0.000487510037866485	NW_015622504.1_cds_XP_016227748.1_78					NW_015622504.1_cds_XP_016227748.1_78	43229.XP_007722073.1	3.62e-132	404	KOG1616@1|root,KOG1616@2759|Eukaryota,39RNW@33154|Opisthokonta,3NVKM@4751|Fungi,3QM5U@4890|Ascomycota,20F2N@147545|Eurotiomycetes,3MVHP@451870|Chaetothyriomycetidae	4751|Fungi	G	Glycogen recognition site of AMP-activated protein kinase	CRP1	GO:0000749,GO:0000750,GO:0003674,GO:0003676,GO:0003677,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005886,GO:0007154,GO:0007165,GO:0007186,GO:0008150,GO:0009987,GO:0010033,GO:0016020,GO:0019236,GO:0023052,GO:0031136,GO:0031137,GO:0031139,GO:0032005,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043900,GO:0043902,GO:0044424,GO:0044464,GO:0046999,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0070887,GO:0071310,GO:0071444,GO:0071944,GO:0097159,GO:1901363,GO:2000241,GO:2000243											AMPK1_CBM
gene-IR01_00118	lcl|NW_015622504.1_cds_XP_016227801.1_131	2881.81680592482	1.32757350622674	0.38199550648973	3.47536419584149	0.000510160226007438	0.00751687410353472	NW_015622504.1_cds_XP_016227801.1_131					NW_015622504.1_cds_XP_016227801.1_131	1182553.XP_007741977.1	0	1177	2EF42@1|root,2SKCU@2759|Eukaryota,39R8J@33154|Opisthokonta,3P0EU@4751|Fungi,3QNHF@4890|Ascomycota,20C05@147545|Eurotiomycetes,3MRBG@451870|Chaetothyriomycetidae	4751|Fungi	S	C6 finger domain protein													
gene-IR01_00124	lcl|NW_015622504.1_cds_XP_016227807.1_137	265.528352421399	1.30396814301383	0.351046158981833	3.71452046874928	0.000203589391148223	0.00381596168014005	NW_015622504.1_cds_XP_016227807.1_137					NW_015622504.1_cds_XP_016227807.1_137	43229.XP_007722144.1	4.41e-210	595	KOG2966@1|root,KOG2966@2759|Eukaryota,39QZZ@33154|Opisthokonta,3NU8G@4751|Fungi,3QQNM@4890|Ascomycota,20ED6@147545|Eurotiomycetes,3MRPG@451870|Chaetothyriomycetidae	4751|Fungi	S	Mitochondrial calcium uniporter				ko:K20858	ko04020,ko04218,ko04621,map04020,map04218,map04621				ko00000,ko00001,ko02000	1.A.77.1			MCU
gene-IR01_00138	lcl|NW_015622504.1_cds_XP_016227822.1_152	2538.19592534807	0.899583705580105	0.317389692092414	2.83431922331672	0.00459234324924017	0.0400517936237304	NW_015622504.1_cds_XP_016227822.1_152					NW_015622504.1_cds_XP_016227822.1_152	5970.XP_009159062.1	2.13e-210	596	KOG0118@1|root,KOG0118@2759|Eukaryota,38CF6@33154|Opisthokonta,3NW7K@4751|Fungi,3QMU9@4890|Ascomycota,20ATR@147545|Eurotiomycetes,3MRQX@451870|Chaetothyriomycetidae	4751|Fungi	A	RNA recognition motif	GBP2	GO:0000723,GO:0000956,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006401,GO:0006402,GO:0006403,GO:0006405,GO:0006406,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010494,GO:0010605,GO:0010629,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016021,GO:0016043,GO:0016070,GO:0016071,GO:0016973,GO:0019222,GO:0019439,GO:0031224,GO:0031503,GO:0032200,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034655,GO:0035770,GO:0036464,GO:0042162,GO:0042592,GO:0042886,GO:0043047,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043565,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048519,GO:0050657,GO:0050658,GO:0050789,GO:0051028,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051276,GO:0051641,GO:0051649,GO:0060249,GO:0060255,GO:0065007,GO:0065008,GO:0070727,GO:0071025,GO:0071027,GO:0071028,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0090304,GO:0097159,GO:0098847,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1990904											RRM_1
gene-IR01_00139	lcl|NW_015622504.1_cds_XP_016227826.1_156	33.4259306750697	-22.0975282628152	3.91011328008909	-5.65137802409443	1.59166615093126e-08	1.47869245565321e-06	NW_015622504.1_cds_XP_016227826.1_156					NW_015622504.1_cds_XP_016227826.1_156	5970.XP_009159062.1	6.92e-211	595	KOG0118@1|root,KOG0118@2759|Eukaryota,38CF6@33154|Opisthokonta,3NW7K@4751|Fungi,3QMU9@4890|Ascomycota,20ATR@147545|Eurotiomycetes,3MRQX@451870|Chaetothyriomycetidae	4751|Fungi	A	RNA recognition motif	GBP2	GO:0000723,GO:0000956,GO:0003674,GO:0003676,GO:0003677,GO:0003697,GO:0003723,GO:0003729,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006401,GO:0006402,GO:0006403,GO:0006405,GO:0006406,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0008104,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010494,GO:0010605,GO:0010629,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016021,GO:0016043,GO:0016070,GO:0016071,GO:0016973,GO:0019222,GO:0019439,GO:0031224,GO:0031503,GO:0032200,GO:0032991,GO:0033036,GO:0034613,GO:0034641,GO:0034655,GO:0035770,GO:0036464,GO:0042162,GO:0042592,GO:0042886,GO:0043047,GO:0043170,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043565,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044425,GO:0044444,GO:0044464,GO:0045184,GO:0046483,GO:0046700,GO:0046907,GO:0048519,GO:0050657,GO:0050658,GO:0050789,GO:0051028,GO:0051168,GO:0051169,GO:0051179,GO:0051234,GO:0051236,GO:0051276,GO:0051641,GO:0051649,GO:0060249,GO:0060255,GO:0065007,GO:0065008,GO:0070727,GO:0071025,GO:0071027,GO:0071028,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0090304,GO:0097159,GO:0098847,GO:1901360,GO:1901361,GO:1901363,GO:1901575,GO:1990904											RRM_1
gene-IR01_00144	lcl|NW_015622504.1_cds_XP_016227832.1_162	1542.00549038163	1.90934629522857	0.387962287198362	4.92147396340184	8.5894830960631e-07	4.26827395477043e-05	NW_015622504.1_cds_XP_016227832.1_162					NW_015622504.1_cds_XP_016227832.1_162	43229.XP_007722211.1	0	903	KOG1721@1|root,KOG1721@2759|Eukaryota,38HRP@33154|Opisthokonta,3NY85@4751|Fungi,3QQG3@4890|Ascomycota,20CUR@147545|Eurotiomycetes,3MR44@451870|Chaetothyriomycetidae	4751|Fungi	S	Zinc finger, C2H2 type	ACE2	GO:0000082,GO:0000083,GO:0000278,GO:0000280,GO:0000976,GO:0000977,GO:0000978,GO:0000981,GO:0000982,GO:0000987,GO:0001012,GO:0001067,GO:0001077,GO:0001228,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006139,GO:0006351,GO:0006355,GO:0006357,GO:0006366,GO:0006725,GO:0006807,GO:0006996,GO:0007049,GO:0007072,GO:0007074,GO:0007155,GO:0007346,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009405,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010453,GO:0010455,GO:0010458,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010564,GO:0010570,GO:0010604,GO:0010628,GO:0010810,GO:0010811,GO:0016043,GO:0016070,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0022402,GO:0022610,GO:0030155,GO:0030447,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031494,GO:0031496,GO:0031505,GO:0031589,GO:0032465,GO:0032774,GO:0032954,GO:0032955,GO:0034641,GO:0034645,GO:0034654,GO:0035690,GO:0036033,GO:0036171,GO:0040007,GO:0040008,GO:0042221,GO:0042493,GO:0042710,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043565,GO:0043708,GO:0043709,GO:0043900,GO:0043902,GO:0044010,GO:0044087,GO:0044182,GO:0044212,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044403,GO:0044406,GO:0044407,GO:0044419,GO:0044424,GO:0044464,GO:0044764,GO:0044770,GO:0044772,GO:0044843,GO:0044877,GO:0045229,GO:0045595,GO:0045597,GO:0045785,GO:0045893,GO:0045927,GO:0045935,GO:0045944,GO:0046483,GO:0048285,GO:0048518,GO:0048522,GO:0048583,GO:0048584,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051094,GO:0051128,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051302,GO:0051704,GO:0051716,GO:0051726,GO:0060255,GO:0065007,GO:0070887,GO:0071554,GO:0071555,GO:0071704,GO:0071840,GO:0071852,GO:0080090,GO:0090033,GO:0090304,GO:0090605,GO:0090609,GO:0097159,GO:0097659,GO:0140014,GO:0140110,GO:1900187,GO:1900189,GO:1900190,GO:1900192,GO:1900428,GO:1900430,GO:1900437,GO:1900439,GO:1901360,GO:1901362,GO:1901363,GO:1901576,GO:1901891,GO:1902412,GO:1902680,GO:1903047,GO:1903436,GO:1903506,GO:1903508,GO:1990837,GO:2000112,GO:2000241,GO:2000243,GO:2001141		ko:K09202,ko:K09238	ko04111,map04111				ko00000,ko00001,ko03000				zf-C2H2
gene-IR01_00153	lcl|NW_015622504.1_cds_XP_016227841.1_171	436.313370619644	1.15574262798804	0.356944775453406	3.2378751769653	0.00120423485314169	0.0145581262939208	NW_015622504.1_cds_XP_016227841.1_171					NW_015622504.1_cds_XP_016227841.1_171	43229.XP_007722203.1	3.97e-104	322	COG5309@1|root,2QTKT@2759|Eukaryota,38F4C@33154|Opisthokonta,3NWQI@4751|Fungi,3QQKC@4890|Ascomycota,20DF6@147545|Eurotiomycetes,3MW3J@451870|Chaetothyriomycetidae	4751|Fungi	O	Cell wall glucanase	MP65	GO:0000003,GO:0000322,GO:0000323,GO:0000324,GO:0000746,GO:0000747,GO:0003674,GO:0003676,GO:0003723,GO:0003729,GO:0003824,GO:0004553,GO:0005488,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005783,GO:0006950,GO:0007154,GO:0007155,GO:0008150,GO:0009267,GO:0009268,GO:0009277,GO:0009405,GO:0009605,GO:0009607,GO:0009628,GO:0009986,GO:0009987,GO:0009991,GO:0012505,GO:0015926,GO:0016787,GO:0016798,GO:0019953,GO:0022414,GO:0022610,GO:0030312,GO:0030445,GO:0030446,GO:0030447,GO:0031347,GO:0031349,GO:0031589,GO:0031667,GO:0031668,GO:0031669,GO:0033554,GO:0035821,GO:0036170,GO:0036176,GO:0036177,GO:0036178,GO:0036244,GO:0040007,GO:0042149,GO:0042594,GO:0042710,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043708,GO:0043709,GO:0044003,GO:0044010,GO:0044182,GO:0044403,GO:0044416,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0044703,GO:0044764,GO:0048518,GO:0048583,GO:0048584,GO:0050789,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0051716,GO:0051817,GO:0052031,GO:0052173,GO:0052200,GO:0052251,GO:0052255,GO:0052509,GO:0052510,GO:0065007,GO:0071214,GO:0071467,GO:0071496,GO:0071944,GO:0075136,GO:0080134,GO:0090605,GO:0090609,GO:0097159,GO:0104004,GO:1901363	3.2.1.58	ko:K01210	ko00500,map00500		R00308,R03115	RC00467	ko00000,ko00001,ko01000				Glyco_hydro_17
gene-IR01_00155	lcl|NW_015622504.1_cds_XP_016227844.1_174	281.89081963006	-0.778076641046925	0.230785600098538	-3.37142629659178	0.000747800449933723	0.0100970781130861	NW_015622504.1_cds_XP_016227844.1_174					NW_015622504.1_cds_XP_016227844.1_174	86049.XP_008726884.1	2.8e-306	873	KOG2204@1|root,KOG2204@2759|Eukaryota,38B69@33154|Opisthokonta,3NXK1@4751|Fungi,3QK11@4890|Ascomycota,20BES@147545|Eurotiomycetes,3MQKT@451870|Chaetothyriomycetidae	4751|Fungi	G	Belongs to the glycosyl hydrolase 47 family		GO:0000139,GO:0003674,GO:0003824,GO:0004553,GO:0004559,GO:0004571,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005794,GO:0006491,GO:0006508,GO:0006511,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009100,GO:0009987,GO:0010033,GO:0010243,GO:0010498,GO:0012505,GO:0015923,GO:0015924,GO:0016020,GO:0016787,GO:0016798,GO:0019538,GO:0019941,GO:0030163,GO:0030433,GO:0031090,GO:0031984,GO:0033554,GO:0034976,GO:0036503,GO:0042221,GO:0043161,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043632,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044422,GO:0044424,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0050896,GO:0051603,GO:0051716,GO:0071704,GO:0098588,GO:0098791,GO:1901135,GO:1901564,GO:1901565,GO:1901575,GO:1901698	3.2.1.113	ko:K01230	ko00510,ko00513,ko01100,ko04141,map00510,map00513,map01100,map04141	M00073,M00074	R05982,R06722		ko00000,ko00001,ko00002,ko01000,ko04131		GH47		Glyco_hydro_47
gene-IR01_00160	lcl|NW_015622504.1_cds_XP_016227849.1_179	998.751928586047	-1.82528744737798	0.474221809595784	-3.84901624185908	0.000118593144795391	0.00257917457650434	NW_015622504.1_cds_XP_016227849.1_179					NW_015622504.1_cds_XP_016227849.1_179																				
gene-IR01_00183	lcl|NW_015622504.1_cds_XP_016227872.1_202	299.201480159661	0.68787661001053	0.231087221154148	2.97669687910471	0.00291371934310007	0.0288901055243777	NW_015622504.1_cds_XP_016227872.1_202					NW_015622504.1_cds_XP_016227872.1_202	470704.XP_007756739.1	1.33e-133	381	2C02X@1|root,2S2KS@2759|Eukaryota,3A1QN@33154|Opisthokonta,3P38S@4751|Fungi,3QV1V@4890|Ascomycota,20GJQ@147545|Eurotiomycetes	4751|Fungi															L_HMGIC_fpl
gene-IR01_00195	lcl|NW_015622504.1_cds_XP_016227884.1_214	244.761837297835	-1.30960088844761	0.290152681316599	-4.51348883803231	6.37698072948905e-06	0.000230269379412374	NW_015622504.1_cds_XP_016227884.1_214					NW_015622504.1_cds_XP_016227884.1_214	1182553.XP_007742421.1	1.29e-260	716	COG5277@1|root,KOG0676@2759|Eukaryota,38CY2@33154|Opisthokonta,3NU18@4751|Fungi,3QKUA@4890|Ascomycota,20EN2@147545|Eurotiomycetes,3MQB4@451870|Chaetothyriomycetidae	4751|Fungi	Z	Belongs to the actin family	ARP1	GO:0000003,GO:0000075,GO:0000132,GO:0000226,GO:0000278,GO:0000280,GO:0001100,GO:0003674,GO:0005198,GO:0005200,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005856,GO:0005869,GO:0005875,GO:0005938,GO:0006810,GO:0006928,GO:0006996,GO:0007010,GO:0007017,GO:0007018,GO:0007049,GO:0007088,GO:0007093,GO:0007096,GO:0007097,GO:0007127,GO:0007163,GO:0007346,GO:0008150,GO:0009987,GO:0010564,GO:0010639,GO:0010948,GO:0010965,GO:0010970,GO:0015629,GO:0015630,GO:0016043,GO:0022402,GO:0022414,GO:0030010,GO:0030071,GO:0030473,GO:0030705,GO:0030989,GO:0031577,GO:0031578,GO:0032991,GO:0033043,GO:0033044,GO:0033045,GO:0033046,GO:0033047,GO:0033048,GO:0040001,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044444,GO:0044446,GO:0044448,GO:0044464,GO:0045786,GO:0045839,GO:0045841,GO:0045930,GO:0046907,GO:0048285,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051128,GO:0051129,GO:0051179,GO:0051234,GO:0051285,GO:0051286,GO:0051293,GO:0051294,GO:0051321,GO:0051640,GO:0051641,GO:0051647,GO:0051649,GO:0051653,GO:0051656,GO:0051726,GO:0051783,GO:0051784,GO:0051983,GO:0051985,GO:0061982,GO:0065007,GO:0071174,GO:0071840,GO:0071944,GO:0072384,GO:0099111,GO:0099568,GO:0099738,GO:0140013,GO:1901987,GO:1901988,GO:1901990,GO:1901991,GO:1902099,GO:1902100,GO:1902850,GO:1903046,GO:1903047,GO:1905818,GO:1905819,GO:2000816,GO:2001251		ko:K16575					ko00000,ko03036,ko04147,ko04812				Actin
